name,snid_z,snid_z_std
iPTF15biw,0.2167,0.0046
LSQ14hw,0.0952,0.005
OGLE-2015-SN-021,0.0866,0.0052
OGLE-2013-SN-075,0.0824,0.0047
PTF10vye,0.0425,0.0034
2002hd,0.0364,0.0049
PTF10zba,0.1532,0.0023
1960F,0.0222,0.0
PTF11qmn,0.0823,0.004
iPTF14fyn,0.183,0.0024
2006cj,0.0673,0.0048
2005ki,0.0173,0.0109
2019fmr,0.0229,0.0015
2021msd,0.0236,0.0
2003kn,0.2384,0.0059
OGLE-2014-SN-210,0.0819,0.0056
2006ev,0.0343,0.0064
2009bd,0.1512,0.0045
PTF12lva,0.0959,0.0037
PTF09fox,0.0689,0.0047
PTF10qkf,0.0835,0.0036
2005na,0.0279,0.0023
PTF11gcc,0.0856,0.0107
PTF10gtk,0.122,0.0038
2008dh,0.0393,0.001
PTF09hfl,0.1817,0.0027
2019ilq,0.0504,0.0035
2008bg,0.0639,0.0008
PTF10ums,0.1936,0.0
ASASSN-15cq,0.0256,0.0008
2007jk,0.182,0.0063
PTF12mez,0.1141,0.0018
LSQ14abd,0.0983,0.0049
PTF11bjk,0.1454,0.0051
iPTF15bje,0.1542,0.005
iPTF14axo,0.0268,0.0047
LSQ13dpm,0.0493,0.0039
2003iv,0.0391,0.0044
2006af,0.0875,0.0032
2004as,0.031,0.0065
PS15dmp,0.1358,0.0038
LSQ13dhj,0.0768,0.0045
2008Z,0.0197,0.005
MASTERJ033333.26-623314.7,0.0246,0.0021
LSQ12gki,0.1266,0.0057
2006sd,0.2791,0.0039
PTF11qpg,0.0856,0.0047
OGLE-2013-SN-099,0.0286,0.0054
iPTF15aip,0.1167,0.0031
LSQ13dby,0.1071,0.0053
ESSENCEp444,0.837,0.0
LSQ16ar,0.0735,0.0035
PTF11aqu,0.0446,0.002
PTF10gmg,0.0581,0.0045
SDSS-SN-032,0.1126,0.005
ASASSN-15as,0.0306,0.0046
ASASSN-14jz,0.0176,0.0026
iPTF14jfu,0.1188,0.006
2007tt,0.3688,0.0078
PTF12rz,0.1242,0.0062
2018bdg,0.0846,0.0033
CSS131224-020446-000718,0.0831,0.004
2007jl,0.2583,0.0057
PTF10gjx,0.0689,0.0029
LSQ12bov,0.0645,0.005
PTF10nvh,0.0674,0.0034
iPTF13dkx,0.1621,0.0058
2006is,-0.0018,0.0048
PTF09fpy,0.155,0.0066
PTF11jba,0.1818,0.0059
iPTF15cji,0.075,0.0039
SNLS-05D4hn,0.825,0.0007
PTF10xyl,0.0649,0.0038
2007ud,0.5883,0.0045
PTF11egb,0.1438,0.0058
PTF12dst,0.1963,0.0027
2006hb,0.0176,0.0083
2001es,0.2592,0.0063
SDSS-SN-105,0.1253,0.0046
SNLS-05D4gw,0.8033,0.0071
PTF12jmq,0.1781,0.0059
PTF12mby,0.1546,0.0057
2002bf,0.0199,0.0037
2006pk,0.2524,0.0047
2005dv,0.0061,0.0038
PTF10xwg,0.2509,0.0064
PTF10jkh,0.0431,0.0023
LSQ14xm,0.1585,0.0052
PTF11pdk,0.0919,0.0062
2019brc,0.0741,0.0035
2016H,0.0471,0.0012
OGLE15fy,0.1213,0.0062
PTF10abjv,0.0757,0.0051
PTF09bdb,0.0263,0.0028
2018jao,0.0216,0.0023
PTF10aagd,0.114,0.0049
SNLS-08D3gb,0.1689,0.0024
2006fx,0.2295,0.0087
PTF09dih,0.1151,0.0052
iPTF13ekv,0.111,0.0025
iPTF14ikw,0.1832,0.0
PTF12lee,0.096,0.0042
2006pl,0.2133,0.0033
SNLS-07D1by,0.7421,0.0093
LSQ12hon,0.1854,0.0012
PTF09dza,0.0967,0.005
PTF10xmc,0.0962,0.0061
PTF10xvh,0.1096,0.0067
SMTJ0545-4735,0.0533,0.002
PTF12grk,0.0592,0.0075
1999da,0.0156,0.0078
PTF10qwg,0.0638,0.005
2022xgm,0.1213,0.0025
LSQ14fik,0.1548,0.0072
PTF11drz,0.0559,0.0054
LSQ12fxd,0.0302,0.0057
SNLS-07D4ei,0.3593,0.0037
2001bf,0.0224,0.0046
2007B,0.0206,0.0036
PTF10cwm,0.0792,0.0014
OGLE16esg,0.1537,0.0059
2001el,0.0048,0.0047
PTF10zgy,0.0459,0.0064
LSQ14aga,0.135,0.0037
2001E,0.0097,0.0016
2006tp,0.7204,0.0043
LSQ14age,0.066,0.0032
2001V,0.1009,0.0694
2007ae,0.0647,0.0047
1996ca,0.0172,0.0036
iPTF13dvq,0.1256,0.004
iPTF13anh,0.063,0.0031
2000dg,0.0408,0.0048
PTF10fj,0.05,0.002
LSQ14een,0.1436,0.0041
PTF10iye,0.1916,0.0026
2007nq,0.0038,0.0048
OGLE16fgn,0.0761,0.0045
MASTERJ003918.04+035659.6,0.0142,0.0034
PTF11oyn,0.1183,0.0044
SNF20080623-001,0.0457,0.0024
2018giq,0.0757,0.0032
SNLS-07D2bd,0.5731,0.0076
OGLE-2012-SN-049,0.071,0.0054
PTF09dip,0.138,0.0018
2005W,0.0098,0.0021
2016iyv,0.028,0.0033
PTF12yc,0.1719,0.0024
SDSS-SN-030,0.1263,0.0011
PTF12dyr,0.1438,0.0048
2002cr,0.0123,0.0044
iPTF15erb,0.1119,0.0032
PS1-14rx,0.0614,0.0037
2007bc,0.0156,0.0118
1993ac,0.0524,0.0047
2003kd,0.0306,0.0032
2008gl,-0.0025,0.002
PTF10duy,0.0825,0.0034
PTF10xyt,0.0447,0.0056
SDSS-SN-066,0.1261,0.0049
PTF11vl,0.0456,0.0043
2004bl,0.0182,0.0033
2001N,0.0214,0.0036
iPTF14jfw,0.0341,0.002
LSQ14ko,0.0736,0.0049
OGLE16dco,0.0695,0.007
gaia15aby,0.0787,0.0038
2018bie,0.0137,0.0033
LSQ13cpk,0.0324,0.0011
PTF11hub,0.0227,0.0075
LSQ14tc,0.0494,0.0023
SNhunt263,0.0322,0.0042
iPTF13dvp,0.1224,0.0032
2007ca,0.0096,0.0072
2007if,0.0866,0.0
LSQ15bbb,0.0351,0.0055
OGLE-2015-SN-060,0.0765,0.0068
PTF11jaw,0.144,0.0045
2001ep,0.0175,0.0059
PTF09dnp,0.0343,0.0031
LSQ12fmd,0.1147,0.0073
ESSENCEp534,0.6062,0.006
2003ic,0.0496,0.0014
ESSENCEp455,0.2846,0.0061
LSQ14eet,0.1218,0.0043
PTF11bgv,0.0353,0.0025
2007lr,0.1594,0.0025
2000dp,0.0356,0.0039
LSQ12bpo,0.1287,0.0068
ESSENCEn263,0.3689,0.0046
2006cm,0.0241,0.0371
2022fbt,0.0978,0.0
1990N,0.0046,0.0031
PTF12mgm,0.0432,0.0049
PTF10opo,0.2203,0.0072
PTF09dzy,0.2085,0.005
PTF12itq,0.2248,0.0054
PS1-13dom,0.0568,0.0023
2001ex,0.0357,0.0056
2001az,0.0393,0.0029
